type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	3.9120e+03	6.8229e-17	1.4022e+00	2.4839e+01
LAE	4.1377e+03	7.1412e-17	1.1520e+00	3.5401e+01
LAE	4.0665e+03	5.8903e-17	4.3260e-01	7.5104e+01
OII	3.9971e+03	1.0422e-16	1.2208e+01	4.5496e+00
LAE	3.9165e+03	6.3237e-17	-3.5100e-02	1.0000e+04
LAE	4.0159e+03	8.7109e-17	7.4100e-02	6.3240e+02
LAE	4.0615e+03	9.7875e-17	9.6900e-02	5.5578e+02
LAE	4.0433e+03	5.7501e-17	8.6660e-01	3.6184e+01
LAE	3.9248e+03	1.2089e-16	4.2910e-01	1.4476e+02
OII	4.1289e+03	2.2047e-16	2.5324e+01	4.9508e+00
LAE	4.1824e+03	1.1139e-16	3.3310e-01	1.9512e+02
LAE	3.8589e+03	8.7990e-17	1.3797e+00	3.1678e+01
LAE	3.9845e+03	5.6980e-17	4.7180e-01	6.3956e+01
OII	3.9990e+03	6.0541e-17	6.6011e+00	4.8923e+00
LAE	3.9664e+03	1.4491e-16	9.3210e-01	8.1585e+01
LAE	4.0919e+03	6.5780e-17	1.8010e-01	2.0399e+02
LAE	4.1830e+03	4.9429e-17	1.0320e-01	2.7954e+02
LAE	3.9603e+03	6.3811e-17	1.8070e-01	1.8475e+02
LAE	3.9785e+03	5.9868e-17	2.4530e-01	1.2886e+02
OII	4.0025e+03	1.1075e-15	1.0549e+02	5.6098e+00
LAE	3.8590e+03	9.3120e-17	4.1550e-01	1.1133e+02
LAE	3.8120e+03	8.7449e-17	8.1070e-01	5.2285e+01
LAE	4.1547e+03	6.6148e-17	1.0407e+00	3.6597e+01
LAE	4.1199e+03	9.0688e-17	1.9710e-01	2.6051e+02
LAE	4.1675e+03	7.2536e-17	1.5187e+00	2.7670e+01
OII	4.1406e+03	4.2934e-16	1.9174e+02	1.2805e+00
LAE	3.8308e+03	8.3210e-17	2.5720e-01	1.5837e+02
LAE	4.1116e+03	1.1278e-16	3.7235e+00	1.7080e+01
LAE	3.9300e+03	6.1281e-17	1.2566e+01	2.5124e+00
LAE	4.1225e+03	1.1141e-16	2.8810e-01	2.1922e+02
LAE	3.9952e+03	1.2576e-16	7.5520e-01	8.8660e+01
LAE	4.1179e+03	7.1881e-17	2.8210e-01	1.4413e+02
LAE	4.0480e+03	5.5977e-17	2.3410e-01	1.3070e+02
LAE	3.9267e+03	1.0162e-16	4.2020e-01	1.2438e+02
LAE	4.0548e+03	9.8025e-17	2.3959e+00	2.2439e+01
OII	4.1393e+03	5.6643e-17	1.0488e+01	3.0866e+00
LAE	4.0734e+03	6.4121e-17	1.2920e-01	2.7468e+02
LAE	4.1580e+03	6.1429e-17	8.5490e-01	4.1439e+01
OII	4.0395e+03	8.1719e-17	4.7430e+01	9.3780e-01
LAE	4.1195e+03	4.6734e-17	8.5770e-01	3.0844e+01
LAE	3.9656e+03	7.1028e-17	4.1870e-01	8.8988e+01
LAE	4.1243e+03	8.1100e-17	1.3510e-01	3.4059e+02
LAE	4.0060e+03	5.0421e-17	2.1550e-01	1.2524e+02
LAE	4.1876e+03	1.4552e-16	2.7031e+00	3.1490e+01
LAE	3.8224e+03	7.2270e-17	2.3260e-01	1.5142e+02
LAE	4.0767e+03	9.5640e-17	1.2551e+00	4.2242e+01
LAE	4.1749e+03	7.2843e-17	1.4849e+00	2.8521e+01
LAE	3.9033e+03	6.6851e-17	4.2345e+01	8.0230e-01
LAE	3.9562e+03	5.7539e-17	9.5600e-02	3.1423e+02
LAE	3.9283e+03	7.1418e-17	1.2330e-01	2.9815e+02
LAE	4.0980e+03	5.4932e-17	6.7000e-02	4.5927e+02
LAE	4.1267e+03	5.4672e-17	3.9140e-01	7.9347e+01
LAE	3.9299e+03	7.7752e-17	2.8370e-01	1.4119e+02
LAE	3.9698e+03	4.3815e-17	1.3740e+00	1.6763e+01
LAE	3.8933e+03	5.5271e-17	7.6320e-01	3.6615e+01
LAE	4.0033e+03	8.5735e-17	1.0916e+00	4.1986e+01
OII	4.1886e+03	7.3357e-16	7.3449e+01	5.8448e+00
LAE	4.0788e+03	5.4402e-17	2.9140e-01	1.0360e+02
LAE	4.0251e+03	5.3617e-17	5.5210e-01	5.2482e+01
LAE	3.8834e+03	7.2216e-17	3.2950e-01	1.1025e+02
OII	4.0763e+03	5.3616e-17	4.4371e+00	6.6974e+00
LAE	4.1293e+03	1.1005e-16	1.4539e+00	4.3052e+01
LAE	4.1165e+03	7.1376e-17	6.5790e-01	6.1324e+01
LAE	4.1436e+03	7.6104e-17	1.1500e-01	3.7901e+02
LAE	4.0582e+03	1.6715e-16	4.0150e-01	2.2870e+02
LAE	3.9474e+03	5.0874e-17	1.4580e-01	1.8136e+02
LAE	4.1081e+03	1.1200e-16	5.1850e-01	1.2160e+02
LAE	3.9449e+03	6.2111e-17	3.8570e-01	8.3594e+01
LAE	3.8324e+03	8.2998e-17	7.7600e-02	5.2401e+02
LAE	4.0480e+03	5.4418e-17	1.8680e-01	1.5923e+02
LAE	3.9898e+03	4.9533e-17	1.1524e+00	2.2823e+01
OII	3.9313e+03	2.2633e-16	4.1623e+02	2.8030e-01
LAE	3.8339e+03	8.1979e-17	9.1800e-02	4.3786e+02
OII	3.9077e+03	2.1041e-15	7.2956e+01	1.4691e+01
